census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity
24005400900,Census Tract 4009; Baltimore County; Maryland,"Baltimore County, Maryland",0,2,,47300,,47300,,
24005401000,Census Tract 4010; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,2800,,2800,,
24005401101,Census Tract 4011.01; Baltimore County; Maryland,"Baltimore County, Maryland",5,0,227300,,227300,,,
24005401301,Census Tract 4013.01; Baltimore County; Maryland,"Baltimore County, Maryland",1,1,1767,1333,1767,1333,,
24005401302,Census Tract 4013.02; Baltimore County; Maryland,"Baltimore County, Maryland",5,6,1082501,929648,1082501,929648,,
24005402202,Census Tract 4022.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,7367,,7367,,,
24005402404,Census Tract 4024.04; Baltimore County; Maryland,"Baltimore County, Maryland",0,2,,86100,,86100,,
24005403100,Census Tract 4031; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,179254,,179254,,
24005403201,Census Tract 4032.01; Baltimore County; Maryland,"Baltimore County, Maryland",8,2,298668,397476,298668,397476,,
24005403202,Census Tract 4032.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,14100,,14100,,,
24005403402,Census Tract 4034.02; Baltimore County; Maryland,"Baltimore County, Maryland",3,0,482578,,482578,,,
24005403500,Census Tract 4035; Baltimore County; Maryland,"Baltimore County, Maryland",2,1,924848,673186,924848,673186,,
24005403601,Census Tract 4036.01; Baltimore County; Maryland,"Baltimore County, Maryland",6,8,2668414,3055129,2668414,3055129,,
24005403602,Census Tract 4036.02; Baltimore County; Maryland,"Baltimore County, Maryland",4,10,1031834,3673319,1031834,3673319,,
24005403803,Census Tract 4038.03; Baltimore County; Maryland,"Baltimore County, Maryland",2,1,495556,456321,495556,456321,,
24005411404,Census Tract 4114.04; Baltimore County; Maryland,"Baltimore County, Maryland",0,3,,5300,,5300,,
24005420100,Census Tract 4201; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,2800,,2800,,,
