census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity,GEOID,intersectional_group,method_version,validated_against_paper_map,validation_date,source_pdf
24510160100,Census Tract 1601; Baltimore city; Maryland,"Baltimore city, Maryland",18,4,1617735,594827,1617735,594827,NA,NA,24510160100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160200,Census Tract 1602; Baltimore city; Maryland,"Baltimore city, Maryland",14,0,1677029,NA,1677029,NA,NA,NA,24510160200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160300,Census Tract 1603; Baltimore city; Maryland,"Baltimore city, Maryland",11,0,1004050,NA,1004050,NA,NA,NA,24510160300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160400,Census Tract 1604; Baltimore city; Maryland,"Baltimore city, Maryland",61,2,4976928,159713,4976928,159713,NA,NA,24510160400,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160500,Census Tract 1605; Baltimore city; Maryland,"Baltimore city, Maryland",36,9,3695658,1238192,3695658,1238192,NA,NA,24510160500,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160600,Census Tract 1606; Baltimore city; Maryland,"Baltimore city, Maryland",28,5,2347794,152848,2347794,331964,NA,-179116,24510160600,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160700,Census Tract 1607; Baltimore city; Maryland,"Baltimore city, Maryland",50,5,4482995,316928,4484764,316928,-1769,NA,24510160700,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160801,Census Tract 1608.01; Baltimore city; Maryland,"Baltimore city, Maryland",31,6,4558336,774105,4558336,783697,NA,-9592,24510160801,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510160802,Census Tract 1608.02; Baltimore city; Maryland,"Baltimore city, Maryland",36,9,4606379,1151589,4675269,1151589,-68890,NA,24510160802,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510170100,Census Tract 1701; Baltimore city; Maryland,"Baltimore city, Maryland",2,2,337918,393993,337918,393993,NA,NA,24510170100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510170200,Census Tract 1702; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510170200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510170300,Census Tract 1703; Baltimore city; Maryland,"Baltimore city, Maryland",3,1,422867,209672,422867,209672,NA,NA,24510170300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510180100,"Census Tract 1801, Baltimore city, Maryland","Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510180100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510180200,"Census Tract 1802, Baltimore city, Maryland","Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510180200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510180300,Census Tract 1803; Baltimore city; Maryland,"Baltimore city, Maryland",11,0,1131653,NA,1157621,NA,-25968,NA,24510180300,Contemporary advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510190100,Census Tract 1901; Baltimore city; Maryland,"Baltimore city, Maryland",19,3,1995454,467292,1995454,467292,NA,NA,24510190100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510190200,Census Tract 1902; Baltimore city; Maryland,"Baltimore city, Maryland",20,2,1814669,421025,1920687,421025,-106018,NA,24510190200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510190300,Census Tract 1903; Baltimore city; Maryland,"Baltimore city, Maryland",16,3,1298035,279840,1333530,279840,-35495,NA,24510190300,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510200100,Census Tract 2001; Baltimore city; Maryland,"Baltimore city, Maryland",23,2,2012167,77077,2012167,82793,NA,-5716,24510200100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510200200,Census Tract 2002; Baltimore city; Maryland,"Baltimore city, Maryland",57,7,4297401,529354,4297401,529354,NA,NA,24510200200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
