GEOID,households_total,white_nonhisp_100k_plus,black_hh_income_lt25k,black_pop_below_poverty,total_population,ice_income_households,ice_poverty_mixed,source,nonfatal_shooting_rate,vacant_housing_pct,college_educated_pct,black_residents_pct,median_household_income
24510200702,393,0,82,257,1026,-0.20865139949109415,-0.25048732943469787,acs5_2019_tract,NA,33.83838383838384,9.694555112881806,99.317738791423,44830
24510230100,830,244,53,149,1872,0.23012048192771084,0.05074786324786325,acs5_2019_tract,NA,14.344685242518059,54.585798816568044,41.23931623931624,74578
24510250205,1480,47,219,499,4008,-0.11621621621621622,-0.11277445109780439,acs5_2019_tract,NA,17.73207337409672,22.194616977225675,51.122754491017965,41184
24510270402,1194,193,47,149,3792,0.12227805695142378,0.011603375527426161,acs5_2019_tract,NA,14.162473040977714,35.979049153908136,61.84071729957806,83160
24510250402,1668,68,394,1301,4614,-0.19544364508393286,-0.2672301690507152,acs5_2019_tract,NA,20.26768642447419,10.890052356020943,51.84221933246641,37451
24510260501,1739,245,56,5,5186,0.10868315123634273,0.04627844195912071,acs5_2019_tract,NA,18.241654913023037,26.5401611645438,11.280370227535673,57639
24510261100,864,474,6,22,1813,0.5416666666666666,0.24931053502482073,acs5_2019_tract,NA,15.12770137524558,74.9835418038183,5.956977385548814,133152
24510270502,1760,274,220,278,4229,0.03068181818181818,-9.458500827618822e-4,acs5_2019_tract,NA,12.914398812469075,39.19262555626192,58.26436509813195,75197
24510270703,1168,241,18,125,2996,0.1909246575342466,0.03871829105473965,acs5_2019_tract,NA,7.886435331230284,34.19894366197183,45.52736982643525,67895
24510271001,883,0,214,403,2515,-0.24235560588901472,-0.1602385685884692,acs5_2019_tract,NA,17.783985102420857,18.181818181818183,94.31411530815109,40039
24510120201,848,298,0,31,2227,0.35141509433962265,0.11989223170184105,acs5_2019_tract,NA,11.85031185031185,75.1592356687898,19.083969465648856,87500
24510272004,1820,318,50,104,3924,0.14725274725274726,0.0545361875637105,acs5_2019_tract,NA,4.008438818565401,51.66184971098266,20.158002038735983,49603
24510120202,1522,223,0,3,5272,0.14651773981603153,0.0417298937784522,acs5_2019_tract,NA,18.303811057434245,78.98305084745763,10.39453717754173,42674
24510272005,1265,362,42,57,3378,0.25296442687747034,0.09029011249259918,acs5_2019_tract,NA,5.526512322628827,53.14232902033272,11.752516281823564,59883
24510272006,1642,90,398,183,3488,-0.18757612667478685,-0.026662844036697247,acs5_2019_tract,NA,12.333155365723439,30.213675213675213,48.05045871559633,30878
24510272007,1830,183,342,656,4747,-0.08688524590163935,-0.09964187908152518,acs5_2019_tract,NA,9.807787087235091,34.11764705882353,48.26206024857805,39748
24510280500,995,0,778,1192,2173,-0.7819095477386935,-0.548550391164289,acs5_2019_tract,NA,9.132420091324201,8.338892595063376,93.46525540727106,13289
24510020100,804,309,23,40,1636,0.35572139303482586,0.16442542787286063,acs5_2019_tract,NA,19.438877755511022,73.82697947214076,12.71393643031785,89000
24510060100,916,185,120,446,2653,0.07096069868995633,-0.09837919336600075,acs5_2019_tract,NA,26.188557614826752,42.30769230769231,44.55333584621184,63421
24510090200,1173,123,113,44,2756,0.008525149190110827,0.028664731494920173,acs5_2019_tract,NA,8.715953307392995,37.09239130434783,77.57619738751814,71189
24510090600,911,28,377,884,3010,-0.38309549945115257,-0.2843853820598007,acs5_2019_tract,NA,30.88012139605463,5.419766206163656,90.96345514950166,35313
24510010300,1008,618,0,16,2380,0.6130952380952381,0.2529411764705882,acs5_2019_tract,NA,14.720812182741117,78.27160493827161,1.638655462184874,142368
24510080301,603,0,222,490,1759,-0.3681592039800995,-0.2785673678226265,acs5_2019_tract,NA,40.99804305283757,8.210890233362143,90.79022171688459,31250
24510110100,2094,274,159,115,3177,0.054918815663801336,0.05004721435316336,acs5_2019_tract,NA,8.318739054290718,78.01392451447417,27.132514951211835,55796
24510090300,1908,70,524,703,4476,-0.2379454926624738,-0.14142091152815014,acs5_2019_tract,NA,10.50656660412758,34.479717813051145,70.218945487042,49722
24510100300,0,0,0,0,3326,NA,0,acs5_2019_tract,NA,NA,0.4811250925240563,76.90920024052916,NA
24510120400,719,58,222,523,1842,-0.22809457579972184,-0.252442996742671,acs5_2019_tract,NA,22.186147186147185,35.20197856553998,68.02388707926167,38445
24510130600,1659,774,26,53,3614,0.45087402049427366,0.19950193691200885,acs5_2019_tract,NA,9.689711486118672,72.63090266623836,5.561704482567792,103911
24510130804,946,258,20,35,1993,0.25158562367864695,0.11189162067235324,acs5_2019_tract,NA,5.870646766169155,49.49431099873578,9.533366783743102,67500
24510160200,860,0,475,1225,2479,-0.5523255813953488,-0.49415086728519564,acs5_2019_tract,NA,32.917316692667704,6.537890044576523,97.29729729729729,22881
24510160400,647,0,315,944,1937,-0.4868624420401855,-0.48735157459989675,acs5_2019_tract,NA,61.71597633136095,5.560619872379216,95.92152813629323,23417
24510160700,1520,0,465,1524,4543,-0.3059210526315789,-0.33546114902047103,acs5_2019_tract,NA,35.40161495962601,11.02836879432624,98.85538190622937,37870
